Questions,Difficulty 
Who are the primary stakeholders in a PRINCE2 project?,2
What are the principles of Prince2?,2
Define prince2 theme?,1
What is the use of Prince2 method?,1
What is risk register?,1
What is the use of quality register?,1
What is issues register?,3
What is business case?,2
What are the types of project?,2
What are the activities in CP process?,3
What are the prince2 deliverables?,3
What are the planning approaches?,3
What are the activities in DP process?,1
What are the activities in SU process?,1
What are the risk strategies?,1
In which process is the justification of the project examined and the Project Plan created?,1
Who authorizes project initiation?,3
When is the risk management strategy created?,3
Togaf Characteristics,2
What is TOGAF?,3
Why should one adopt TOGAF?,3
What are the architectural domains of TOGAF?,3
What are the steps involved in Architecture Development Method (ADM)?,2
Give an example of a situation where your team or organization changed their goals or resources. How it affected your work? What was your response to the same?,2
How the TOGAF creates importance as a skeleton for enterprise architecture?,2
Who ultimately enjoys the benefits of TOGAF?,1
Why is the enterprise architecture so important?,3
Give an example to achieve hold up for a disliked verdict. How were you able to manage? And what was your team’s response? How successful were you to convince them to participate?,2
How many parts are there in TOGAF document? Elaborate their roles,1
"Explain a groundbreaking thought you used to get the solution of any error in the project. In what way, the concept fluctuates from standard answers?",1
Give an example of a condition in which you convinced someone to do your analysis. How did you uphold peoples' assurance?,1
What does the architecture content framework provide?,3
Define a circumstance in which you worked with organically uncontrolled individuals on a project. In what way you coordinated the team's hard work with the general purposes?,2
What are the key challenges you faced in your industry and how did you tackle them?,2
Describe the communication challenges that you faced in your last project?,2
How strong is your integrity to the project and the company?,2
What is the way in which you communicate bad news?,1
How do you manage employees who are having some sort of issues?,3
Give an account of a situation wherein you have kept your promise even though it was difficult?,1
Tell us about when your decision backfired and what you learnt from it?,1
Explain how did you take customer orientation into consideration while working on a project?,1
How do you plan to meet or even exceed customer expectations?,2
What are your ideas for developing an excellent customer relationship?,1
How will you manage the performance of your team?,1
What is your style of motivating your team members?,2
What tools or resources you have used to develop your team?,1
How do you delegate authority to your team members?,1
How good are you at delegating authority?,3
How do you focus on goals?,2
What is your plan for managing risks and ambiguity?,1
How do you ensure your projects are right on track?,1
Compare Salesforce Dev 401 with Salesforce Adv Dev 501.,3
What is the benefit of Salesforce CRM?,3
What are custom objects in Salesforce?,1
Define object relationship in Salesforce.,1
List various object relations in Salesforce.,3
What is an app in Salesforce?,3
Explain the advantages of Salesforce using the SaaS platform.,3
How does Salesforce deploy sales tracking?,2
What are Workflows in Salesforce? What are Actions in a Workflow?,2
What is a Master–Detail relationship?,1
What is a Connected App?,2
Can two profiles be assigned to one user?,1
What are the Salesforce subsidiaries?,1
What is an Audit trail?,2
What happens to the Detail (Child) record when a Master (Parent) record is deleted?,2
Can you have a roll-up summary field in the case of a Master–Detail relationship?,2
What is an sObject type?,1
What are triggers in Salesforce? How are they different from workflows?,1
What is trigger.new?,2
What is the minimum test coverage required to deploy a trigger?,2
Explain the Force.com platform.,1
List various types of reports available in Salesforce.,2
How many reports can be added to the Salesforce dashboard?,1
Explain various Salesforce dashboard components.,3
What is Visualforce in Force.com?,3
What is a static resource in Salesforce?,3
Differentiate between Salesforce Object Query Language and Salesforce Object Search Language.,2
What are the different methods of Batch Apex class?,2
What is the difference between Standard and Custom Controller?,3
What are the different data types that a standard field record name can have?,3
Where we can use Lightning Components?,1
